AirPressureShallow,AirPressureDeep,1226420,1226429,datetime,1226419,1226421,2151691,2149882,1226423,2151692
0.0,-0.004272970825788,-14.4462855290604,-14.5666893936803,2022-07-21,-2.1701303982342,-2.60752145315869,-5.7868476912936,-6.02455607372455,-2.01150125199103,-5.55268381476875
0.0,-0.0044141146246179,-14.4386948945389,-14.5691272025182,2022-07-22,-2.14977311767644,-2.58888359913821,-5.76390105866008,-6.00232854077807,-1.99026876976726,-5.5293940706296
0.0,-0.004817518860456,-14.4323191358109,-14.5666465004308,2022-07-23,-2.1156204808407,-2.55523046257648,-5.72965046888381,-5.96825181196511,-1.95297454310968,-5.49450392144419
0.0,-0.0047784182134833,-14.4272170540848,-14.5625230905797,2022-07-24,-2.08890300027769,-2.52804692260059,-5.70128375465907,-5.93961306934095,-1.93214295248129,-5.46527929200814
0.0,-0.0047068926397528,-14.4251328194657,-14.5593467016637,2022-07-25,-2.06585936655587,-2.50493881816652,-5.67817780788264,-5.91567388450084,-1.92012360412261,-5.44040174290592
0.0047927233282312,0.0,-14.423562237739,-14.5509858484527,2022-07-26,-2.05697624703775,-2.49617908575984,-5.66979250728249,-5.90668728311155,-1.90976746138031,-5.43119322105428
0.0,-0.0047927233282294,-14.4175154801713,-14.5597480596349,2022-07-27,-2.11204838900648,-2.55328607404385,-5.71279384378113,-5.95898156967727,-1.96543647159595,-5.48313359693084
0.0,-0.0047412249151435,-14.4104165493241,-14.558365913944,2022-07-28,-2.1121972602169,-2.55396790291052,-5.71360644396818,-5.95944478097863,-1.96520598930386,-5.48282309675901
0.0,-0.0045209261480536,-14.4312833906327,-14.5571798880651,2022-07-29,-2.0915807727393,-2.53474970288253,-5.69323857189517,-5.93796796213884,-1.94552894672379,-5.46160192670153
0.0,-0.004425558716413,-14.4277455094071,-14.5538787724645,2022-07-30,-2.05817342115039,-2.5018600083375,-5.65854722297006,-5.90314895678869,-1.9112154884573,-5.42540394609834
0.0,-0.004456076294538,-14.4235448951493,-14.5511967246129,2022-07-31,-2.03242123308275,-2.47644378787367,-5.63157159341788,-5.8761030352557,-1.88515236128827,-5.39778579470369
0.0,-0.0044446322027411,-14.4208270999833,-14.5502174939,2022-08-01,-2.01961132722766,-2.46364499710298,-5.61804839702166,-5.86250159597402,-1.87228215510953,-5.38400207235038
0.0,-0.0043111177984442,-14.4183102719804,-14.548501492069,2022-08-02,-2.01419160545346,-2.45792812732478,-5.61222042064165,-5.85652408273284,-1.86684574876846,-5.37843184080585
0.0,-0.0041327807012745,-14.4171747946854,-14.5474906749303,2022-08-03,-1.9324206151989,-2.37583202669269,-5.524585446816,-5.76913401154519,-1.77921615582709,-5.28515946578686
,,,,2022-08-04,,,,,-1.74033516943087,-5.24289439475244
,,,,2022-08-05,,,,,-1.71001471839148,-5.21035305242961
,,,,2022-08-06,,,,,-1.69792837494565,-5.19745173209056
,,,,2022-08-07,,,,,-1.6852398534695,-5.18358751025199
,,,,2022-08-08,,,,,-1.67558415394673,-5.17368641413563
,,,,2022-08-09,,,,,-1.68092114714245,-5.17807589520334
,,,,2022-08-10,,,,,-1.73083079808727,-5.23164787895651
,,,,2022-08-11,,,,,-1.6873612799201008,-5.185579049832591
,,,,2022-08-12,,,,,-1.6593632494068733,-5.155905918174386
,,,,2022-08-13,,,,,-1.6868691780717942,-5.1851600282658685
,,,,2022-08-14,,,,,-1.747779621431305,-5.240205613499407
,,,,2022-08-15,,,,,-1.762921566530232,-5.255500435771509
,,,,2022-08-16,,,,,-1.7732654866001074,-5.267647650875471
,,,,2022-08-17,,,,,-1.7795027678139088,-5.271193874934628
,,,,2022-08-18,,,,,-1.8412000727333269,-5.333488393894331
,,,,2022-08-19,,,,,-1.9296557807861685,-5.4241280530170695
,,,,2022-08-20,,,,,-1.88308126193914,-5.375012536312854
,,,,2022-08-21,,,,,-1.867055343530578,-5.358328195054966
,,,,2022-08-22,,,,,-1.8563394717868016,-5.348212637339191
,,,,2022-08-23,,,,,-1.8481313605234495,-5.340776595521837
,,,,2022-08-24,,,,,-1.8760433892862856,-5.371773655858359
,,,,2022-08-25,,,,,-1.877436301202748,-5.374336334160359
0.0,-0.0043378206793018,-14.436245176277229,-14.56499386706898,2022-08-26,-2.0567409379105053,-2.486327692349368,-5.655146268303674,-5.899877735230059,-1.899505688863562,-5.405488316881982
0.0,-0.0039744707647546,-14.513619284675668,-14.567766211795549,2022-08-27,-2.08423446683056,-2.514203931999846,-5.681668178986474,-5.926058758149328,-1.9408143094561985,-5.443159664001266
0.0,-0.0035634371343817,-14.58362541590125,-14.572183171146133,2022-08-28,-2.1352487927053123,-2.5671221764123904,-5.72797484108859,-5.972052330358343,-1.985594882885624,-5.492058331397288
0.0,-0.0037007662359442,-14.576788081916876,-14.572829356693006,2022-08-29,-2.1514634852458068,-2.5844557107089847,-5.745137091072145,-5.9894042666024525,-2.001292016601187,-5.509996090524724
0.0,-0.0037694307867255,-14.658975745063849,-14.589735492496228,2022-08-30,-2.1771010547945866,-2.6110713644732666,-5.775127414837794,-6.019466738850207,-2.025423465633849,-5.539812560756251
0.0,-0.0037732454839929,-14.529743065254278,-14.640813679874158,2022-08-31,-2.1557685564777085,-2.590041246225889,-5.754240571240907,-5.998637395385273,-2.0056368806852176,-5.518739035149942
0.0037179323736395,0.0,-14.449192067511987,-14.721190023928742,2022-09-01,-2.1483988268465524,-2.5823194167227896,-5.748094618301289,-5.992461450850063,-2.001059046307916,-5.512762446411143
0.0,-0.003761801392196,-14.432387502815317,-14.834191418216443,2022-09-02,-2.1208174295814843,-2.5540912039834147,-5.719843012370964,-5.964299090116901,-1.9737567550138324,-5.484356811543144
0.0,-0.003662619263288,-14.433800748420785,-14.652824093509413,2022-09-03,-2.121231404998884,-2.5540672068706103,-5.721437182014246,-5.965678451964026,-1.9740401430141872,-5.48622165397733
0.0,-0.0036778780523487,-14.432844300178594,-14.722406303470349,2022-09-04,-2.1145219642615687,-2.5465681714488464,-5.715509958146317,-5.959847757796208,-1.967384303861636,-5.480093241574041
0.0,-0.0035996767584034,-14.432314519783086,-14.55530874573109,2022-09-05,-2.09620308439754,-2.527278309002831,-5.696658979938587,-5.941196896079578,-1.9488491653164013,-5.461402938077857
0.0,-0.0036282869878974,-14.429793039314337,-14.552636442996716,2022-09-06,-2.086895705217644,-2.517475252256043,-5.688178708115468,-5.932655307918568,-1.9394754259250016,-5.452956660853149
0.0,-0.0036712023321356,-14.428015585334846,-14.552252498782847,2022-09-07,-2.078075219735402,-2.507799635271681,-5.679233999510456,-5.923888901710468,-1.931187465253683,-5.444933639113264
0.0,-0.0037846895757862,-14.43027564624793,-14.552348633914685,2022-09-08,-2.07340440772612,-2.5021383517508013,-5.673812132265625,-5.918783310702534,-1.9250079613225728,-5.43813460214338
0.003693136841413,0.0,-14.443993962409449,-14.561368987185578,2022-09-09,-2.147922536529318,-2.575796895667296,-5.747579405545665,-5.992433611698299,-1.999712688095978,-5.512953273177022
0.0,-0.0031686159673913,-14.45226824353797,-14.568280426517225,2022-09-10,-2.201325190120854,-2.628360890037985,-5.801323035728548,-6.046187597788166,-2.052908365244925,-5.56667502081004
0.0,-0.0031066271368231,-14.449718412483282,-14.554868950931288,2022-09-11,-2.20732934608468,-2.6339534217321945,-5.807704649459152,-6.052776708764407,-2.0584632400197127,-5.572577579600642
0.0,-0.0031552645269581,-14.479685436042852,-14.562564908084603,2022-09-12,-2.216957183145896,-2.643425743262525,-5.8197779852560325,-6.064958336823331,-2.0680005172110034,-5.584385802482498
0.0,-0.0033231112066474,-14.477085769661016,-14.59625642139027,2022-09-13,-2.27704917026964,-2.7016029627754814,-5.871237430566651,-6.116301551776476,-2.127955260464234,-5.636312137130279
0.0,-0.0033479067388721,-14.475466450935432,-14.60550410071156,2022-09-14,-2.3095425312233018,-2.732762896139135,-5.8971931685134935,-6.142276864283803,-2.15972104316891,-5.662193121641768
0.0033355089727606,0.0,-14.47675660425515,-14.604376572390654,2022-09-15,-2.3587341532299964,-2.7806122272350366,-5.945744541180708,-6.1908647870645535,-2.2096326006013305,-5.711015053895766
0.0,-0.0033135744634833,-14.47883372754676,-14.612557808963514,2022-09-16,-2.332296492230768,-2.7537435894537907,-5.924262756050393,-6.169590049183323,-2.183785015554866,-5.689267556687233
0.0,-0.0032925936285224,-14.473868323371956,-14.599652328616834,2022-09-17,-2.355270044605269,-2.7763119086769628,-5.947750778416931,-6.193148224924946,-2.2071718347201443,-5.713112060369018
0.0033192965093817,0.0,-14.475520807380152,-14.58744760950003,2022-09-18,-2.384299172683377,-2.804800044000848,-5.978087305111099,-6.22331703003091,-2.245286402219104,-5.749966487148123
0.0,-0.0034461351934638,-14.477750318977424,-14.598280148441052,2022-09-19,-2.376412635836508,-2.7930186315229,-5.969963309289743,-6.214935808085589,-2.2288108167629463,-5.734459612315745
0.0030589434210028,0.0,-14.520118511969995,-14.604686437136747,2022-09-20,-2.4102457274220246,-2.8259228849041054,-5.992035627218408,-6.237272485161853,-2.2740869805209853,-5.758897890196196
0.0032554003301843,0.0,-14.480899850654074,-14.59510779925833,2022-09-21,-2.408370987447858,-2.823951794516109,-5.9925861197425565,-6.237689615962048,-2.256978819229625,-5.758476015582636
0.0033364626470788,0.0,-14.484768007697532,-14.60172201294241,2022-09-22,-2.3701006077772697,-2.786320693987879,-5.959117200952278,-6.204628932510098,-2.221132225443386,-5.728293906343963
0.0033538070074285,0.0,-14.50277548608913,-14.625483955037136,2022-09-23,-2.24385361953429,-2.6605105411431405,-5.832135467399917,-6.077854945705512,-2.090325814709163,-5.597675689424479
0.0037038070074277,0.0,-14.58021357808913,-14.677206523037144,2022-09-24,-2.138047530397277,-2.5551207668872418,-5.721330698910676,-5.967161107771148,-1.9828712009757568,-5.486821456192717
0.0,-0.0037738070074286,-14.637980027096562,-14.704072926044562,2022-09-25,-2.1382493944443195,-2.5549992883382053,-5.7219553098088,-5.967540514569933,-1.982872692681844,-5.488067252582236
0.0,-0.0037138070074291,-14.711861663096569,-14.75258580604457,2022-09-26,-2.1250605254064183,-2.541875778093649,-5.7103594708383065,-5.956214074446682,-1.9690158228853976,-5.475938875986599
0.0,-0.0037338070074302,-14.566565511096568,-14.850005890044564,2022-09-27,-2.1287400886540317,-2.5458866827647264,-5.717246592695188,-5.963074860004436,-1.9725870213607064,-5.482889547670667
0.0,-0.0038238070074285,-14.56631935509656,-14.741432818044563,2022-09-28,-2.1203935080775618,-2.5375131921840026,-5.706080105918419,-5.951911584851437,-12.697273764748209,-5.466455819047392
0.0044838070074284,0.0,-14.49042963208914,-14.595797155037143,2022-09-29,-2.5708232749904454,-2.9897687004128017,-6.111252134128518,-6.356563141589643,-2.414817877292932,-5.87762190008614
0.0,-0.0036938070074281,-14.50167050709656,-14.615654522044563,2022-09-30,-2.59165005394397,-3.011642342159488,-6.171311705372023,-6.416027180201932,-2.436690712857269,-5.937292817320558
0.0037538070074276,0.0,-14.509461962089132,-14.611576155037143,2022-10-01,-2.527161360355237,-2.9471649560455555,-6.109107116773413,-6.35380970854865,-2.3725951873000946,-5.875640685627456
0.0038938070074276,0.0,-14.518074490089138,-14.616460827037136,2022-10-02,-2.460445693239349,-2.8809814306604813,-6.0472816382780525,-6.292133138873145,-2.304514782389107,-5.813780720142456
0.0,-0.0038538070074292,-14.537473839096563,-14.623587014044572,2022-10-03,-2.3924584340302784,-2.8130070095096023,-5.979703726108943,-6.22463022318093,-2.2365151888000807,-5.745926050015505
