,datetime,Average Wind Speed
127,2022-07-21 07:45:00,2.4166666666666665
128,2022-07-21 08:00:00,2.25
129,2022-07-21 08:15:00,2.25
130,2022-07-21 08:30:00,1.888888888888889
131,2022-07-21 08:45:00,2.25
132,2022-07-21 09:00:00,2.0
133,2022-07-21 09:15:00,
134,2022-07-21 09:30:00,
135,2022-07-21 09:45:00,
136,2022-07-21 10:00:00,1.625
137,2022-07-21 10:15:00,2.1666666666666665
138,2022-07-21 10:30:00,1.9055555555555557
139,2022-07-21 10:45:00,1.888888888888889
140,2022-07-21 11:00:00,2.0833333333333335
141,2022-07-21 11:15:00,2.5
142,2022-07-21 11:30:00,1.8722222222222225
143,2022-07-21 11:45:00,1.892857142857143
144,2022-07-21 12:00:00,1.7857142857142858
145,2022-07-21 12:15:00,2.0416666666666665
146,2022-07-21 12:30:00,2.5833333333333335
147,2022-07-21 12:45:00,2.7083333333333335
148,2022-07-21 13:00:00,2.9583333333333335
149,2022-07-21 13:15:00,3.2083333333333335
150,2022-07-21 13:30:00,3.125
151,2022-07-21 13:45:00,3.0416666666666665
152,2022-07-21 14:00:00,3.4166666666666665
153,2022-07-21 14:15:00,3.2916666666666665
154,2022-07-21 14:30:00,3.3333333333333335
155,2022-07-21 14:45:00,3.0
156,2022-07-21 15:00:00,3.0833333333333335
157,2022-07-21 15:15:00,3.25
158,2022-07-21 15:30:00,3.0416666666666665
159,2022-07-21 15:45:00,3.0416666666666665
160,2022-07-21 16:00:00,2.5416666666666665
161,2022-07-21 16:15:00,3.25
162,2022-07-21 16:30:00,3.142857142857143
163,2022-07-21 16:45:00,3.490079365079365
164,2022-07-21 17:00:00,3.9166666666666665
165,2022-07-21 17:15:00,4.087301587301588
166,2022-07-21 17:30:00,4.791666666666667
167,2022-07-21 17:45:00,5.083333333333333
168,2022-07-21 18:00:00,5.0773809523809526
169,2022-07-21 18:15:00,5.291666666666667
170,2022-07-21 18:30:00,5.785714285714286
171,2022-07-21 18:45:00,6.0476190476190474
172,2022-07-21 19:00:00,6.18452380952381
173,2022-07-21 19:15:00,6.0
174,2022-07-21 19:30:00,6.5
175,2022-07-21 19:45:00,6.642857142857143
176,2022-07-21 20:00:00,6.428571428571428
177,2022-07-21 20:15:00,6.476190476190475
178,2022-07-21 20:30:00,6.636904761904762
179,2022-07-21 20:45:00,6.809523809523809
180,2022-07-21 21:00:00,6.636904761904762
181,2022-07-21 21:15:00,6.767857142857142
182,2022-07-21 21:30:00,7.3809523809523805
183,2022-07-21 21:45:00,6.6190476190476195
184,2022-07-21 22:00:00,7.0
185,2022-07-21 22:15:00,6.857142857142858
186,2022-07-21 22:30:00,6.428571428571428
187,2022-07-21 22:45:00,6.238095238095238
188,2022-07-21 23:00:00,6.333333333333333
189,2022-07-21 23:15:00,6.238095238095238
190,2022-07-21 23:30:00,5.857142857142858
191,2022-07-21 23:45:00,5.6190476190476195
192,2022-07-22 00:00:00,5.285714285714286
193,2022-07-22 00:15:00,4.809523809523809
194,2022-07-22 00:30:00,5.0
195,2022-07-22 00:45:00,4.761904761904762
196,2022-07-22 01:00:00,4.142857142857143
197,2022-07-22 01:15:00,4.095238095238095
198,2022-07-22 01:30:00,4.095238095238096
199,2022-07-22 01:45:00,4.142857142857143
200,2022-07-22 02:00:00,3.4285714285714284
201,2022-07-22 02:15:00,
202,2022-07-22 02:30:00,
203,2022-07-22 02:45:00,
204,2022-07-22 03:00:00,4.0625
205,2022-07-22 03:15:00,4.375
206,2022-07-22 03:30:00,4.791666666666667
207,2022-07-22 03:45:00,5.083333333333333
208,2022-07-22 04:00:00,4.833333333333333
209,2022-07-22 04:15:00,4.375
210,2022-07-22 04:30:00,3.7916666666666665
211,2022-07-22 04:45:00,3.5833333333333335
212,2022-07-22 05:00:00,2.9166666666666665
213,2022-07-22 05:15:00,2.9444444444444446
214,2022-07-22 05:30:00,2.7916666666666665
215,2022-07-22 05:45:00,2.9166666666666665
216,2022-07-22 06:00:00,2.5833333333333335
217,2022-07-22 06:15:00,2.875
218,2022-07-22 06:30:00,2.642857142857143
219,2022-07-22 06:45:00,2.7777777777777772
220,2022-07-22 07:00:00,3.1111111111111107
221,2022-07-22 07:15:00,3.25
222,2022-07-22 07:30:00,2.75
223,2022-07-22 07:45:00,2.8333333333333335
224,2022-07-22 08:00:00,1.25
225,2022-07-22 08:15:00,1.0
226,2022-07-22 08:30:00,1.0
227,2022-07-22 08:45:00,1.0
228,2022-07-22 09:00:00,1.0
229,2022-07-22 09:15:00,
230,2022-07-22 09:30:00,
231,2022-07-22 09:45:00,
232,2022-07-22 10:00:00,1.2999999999999998
233,2022-07-22 10:15:00,1.7222222222222223
234,2022-07-22 10:30:00,1.5
235,2022-07-22 10:45:00,1.0
236,2022-07-22 11:00:00,1.0
