file,datetime,uploaddir,sampratedir
HOF-IW0006S50.dat,2022-04-06 04:00:00,20220413,
HOF-IW0006I50.dat,2022-04-06 08:00:00,20220413,
HOF-IW0006S51.dat,2022-04-06 08:00:00,20220413,
HOF-IW0006I51.dat,2022-04-06 12:00:00,20220413,
HOF-IW0006S52.dat,2022-04-06 12:00:00,20220413,
HOF-IW0006S53.dat,2022-04-06 16:00:00,20220413,
HOF-IW0006I52.dat,2022-04-06 16:00:00,20220413,
HOF-IW0006I53.dat,2022-04-06 20:00:00,20220413,
HOF-IW0006S54.dat,2022-04-06 20:00:00,20220413,
HOF-IW0006I54.dat,2022-04-07 00:00:00,20220413,
HOF-IW0006S55.dat,2022-04-07 00:00:00,20220413,
HOF-IW0006S56.dat,2022-04-07 04:00:00,20220413,
HOF-IW0006I55.dat,2022-04-07 04:00:00,20220413,
HOF-IW0006I56.dat,2022-04-07 08:00:00,20220413,
HOF-IW0006S57.dat,2022-04-07 08:00:00,20220413,
HOF-IW0006I57.dat,2022-04-07 12:00:00,20220413,
HOF-IW0006S58.dat,2022-04-07 12:00:00,20220413,
HOF-IW0006S59.dat,2022-04-07 16:00:00,20220413,
HOF-IW0006I58.dat,2022-04-07 16:00:00,20220413,
HOF-IW0006I59.dat,2022-04-07 20:00:00,20220413,
HOF-IW0006S60.dat,2022-04-07 20:00:00,20220413,
HOF-IW0006S61.dat,2022-04-08 00:00:00,20220413,
HOF-IW0006I60.dat,2022-04-08 00:00:00,20220413,
HOF-IW0006S62.dat,2022-04-08 04:00:00,20220413,
HOF-IW0006I61.dat,2022-04-08 04:00:00,20220413,
HOF-IW0006I62.dat,2022-04-08 08:00:00,20220413,
HOF-IW0006S63.dat,2022-04-08 08:00:00,20220413,
HOF-IW0006I63.dat,2022-04-08 12:00:00,20220413,
HOF-IW0006S64.dat,2022-04-08 12:00:00,20220413,
HOF-IW0006S65.dat,2022-04-08 16:00:00,20220413,
HOF-IW0006I64.dat,2022-04-08 16:00:00,20220413,
HOF-IW0006S66.dat,2022-04-08 20:00:00,20220413,
HOF-IW0006I65.dat,2022-04-08 20:00:00,20220413,
HOF-IW0006I66.dat,2022-04-09 00:00:00,20220413,
HOF-IW0006S67.dat,2022-04-09 00:00:00,20220413,
HOF-IW0006I67.dat,2022-04-09 04:00:00,20220413,
HOF-IW0006S68.dat,2022-04-09 04:00:00,20220413,
